sample_id,qc_type,TG 52:2 [-16:0],TG 52:3 [-16:1],TG 52:3 [-18:2],TG 52:4 [-16:0],TG 52:4 [-18:1],TG 53:2 [-17:0],TG 54:2 [-18:0],TG 54:3 [-18:1],TG 54:4 [-18:0],TG 54:4 [-18:2],TG 54:5 [-18:1],TG 54:6 [-18:2],TG 56:6 [-20:4],TG 56:8 [-20:4],TG 58:8 [-22:6]
LT_batch2_18,SAMPLE,695.1388323330837,34.80710152628256,432.52879923367004,168.44457173679012,66.61344706341656,8.898736543727031,69.8775409008154,180.53357856892978,11.961615746126148,16.239812602807003,44.259908966409746,22.512214570030615,9.244942037123586,3.673194555829081,7.895878022491054
LT_batch2_19,SAMPLE,562.192408937781,30.380159516502147,347.2515625409997,125.80189619008705,64.34657413476961,10.107594758087235,68.54194818700417,162.49613054160716,11.907581382642547,15.341128830223912,35.53821026744364,17.637750416608906,7.435849749678674,3.0238420788039075,10.7951876915587
LT_batch2_20,SAMPLE,284.32315996132843,21.226114220932015,218.14128346414074,74.12072043670507,31.651579639405053,3.928047109615861,30.467914411598514,144.49363808009173,6.415356057357758,13.478251386316249,29.025580075449817,13.98923437651076,5.234674780548423,1.417987134432832,4.078567651210327
LT_batch2_21,SAMPLE,217.28038045694086,21.573546332186076,188.39720724108344,58.43979143950593,32.095497124567146,5.12841892212992,28.155040020334074,140.61409579536576,8.823235966564715,16.621875939358425,38.52820336461827,22.041818663932627,10.717998575225293,4.118096866759254,28.654526779284378
LT_batch2_22,SAMPLE,884.7506596438724,51.93665664986318,650.4278723326286,266.6057235451148,123.76505764085627,13.10678198810504,138.95392885933882,421.73130551771516,20.111356025616455,40.81266059040126,119.6566677772975,65.42462293693423,18.011213597343957,10.484385991296692,4.372549273538236
LT_batch2_23,SAMPLE,254.80667855389223,18.072716964875916,188.76150387892554,60.899599455247326,31.326056809231765,2.584826353241086,23.786913217069557,88.93047663633303,4.004827700651141,8.991084634750619,20.573643805155555,9.679996249650673,6.38090090418577,2.570345630192882,1.7037164272885004
LT_batch2_24,SAMPLE,252.87731067345868,16.466097598848776,186.77179268425738,69.59856605849455,26.862701572019972,4.440928123727182,23.861037638454057,82.84643212094875,6.617304979800841,9.365152987075826,20.625604037709653,10.156684862685433,4.588569989876501,1.090177374869134,3.506471097942138
LT_batch2_25,SAMPLE,297.8353017689566,20.571606091318856,211.00050042008408,71.96802932923724,36.67946718639581,7.007053272085984,34.23678669089177,98.78411477403044,6.238856014703737,10.355648741941934,22.97278152276753,11.527959331435229,7.365226848697788,2.494255436750665,8.051862622912946
LT_batch2_26,SAMPLE,409.6874132866094,23.907266781049234,235.27187190582382,102.69244762029564,39.8784290753021,4.67049338943786,41.63955730176419,207.38273144638265,6.901331995328118,16.374452139430627,41.185448738020995,19.94766287781942,7.391183798954065,1.9569513800076206,3.9179738244949536
LT_batch2_27,SAMPLE,374.07533199498914,43.80310622640265,277.2277320189543,82.23790072943785,58.78912797372936,5.956432085426187,46.348848261600864,179.77179377829205,8.201269056220449,16.79098890901458,37.87786387727674,17.727250680980372,9.888934059843853,3.3256767191785457,15.82923739732872
